origen_id,destino_id,origen_lat,origen_lon,destino_lat,destino_lon,calle,distancia_m,trafico,distancia_trafico_m,tiempo_estimado_s,distrito_origen,distrito_destino
310954666,310954831,-12.1755695,-77.0099278,-12.1758919,-77.010294,Avenida Los Pumas,53.57,2.48,132.85,15.95,Chorrillos,Chorrillos
310954666,10030047391,-12.1755695,-77.0099278,-12.1755137,-77.0099911,Calle Las Campanillas,9.26,1.02,9.45,1.13,Chorrillos,Chorrillos
310954831,310954851,-12.1758919,-77.010294,-12.1762167,-77.0106658,Avenida Los Pumas,54.2,2.44,132.25,15.88,Chorrillos,Chorrillos
310954831,10030047389,-12.1758919,-77.010294,-12.1758327,-77.0103628,Calle Los Zúngaros,9.96,1.86,18.53,2.22,Chorrillos,Chorrillos
310954831,310955289,-12.1758919,-77.010294,-12.1762207,-77.0099357,Calle Los Zúngaros,53.42,1.63,87.07,10.45,Chorrillos,Chorrillos
310954835,310954947,-12.1776657,-77.0083076,-12.1779843,-77.0086779,Avenida Ariosto Matellini,53.65,1.29,69.21,8.31,Chorrillos,Chorrillos
310954835,310955204,-12.1776657,-77.0083076,-12.1773344,-77.0086681,Calle Los Zúngaros,53.78,1.91,102.72,12.33,Chorrillos,Chorrillos
310954851,309583819,-12.1762167,-77.0106658,-12.1766126,-77.0111294,Avenida Los Pumas,66.91,2.25,150.55,18.07,Chorrillos,Chorrillos
310954851,10030047387,-12.1762167,-77.0106658,-12.1761592,-77.0107309,Calle Manuel Raygada,9.54,2.05,19.56,2.35,Chorrillos,Chorrillos
310954851,310954917,-12.1762167,-77.0106658,-12.1768728,-77.0099213,Calle Manuel Raygada,108.95,1.5,163.43,19.62,Chorrillos,Chorrillos
310954916,310955206,-12.1755651,-77.0084351,-12.1760468,-77.0079981,Calle Las Capironas,71.59,1.03,73.74,8.85,Chorrillos,Chorrillos
310954916,310955286,-12.1755651,-77.0084351,-12.1752033,-77.0087708,Calle Las Capironas,54.31,1.86,101.02,12.13,Chorrillos,Chorrillos
310954916,3974743886,-12.1755651,-77.0084351,-12.176556,-77.0095442,Calle Los Manglares,163.33,2.17,354.43,42.55,Chorrillos,Chorrillos
310954917,3974743883,-12.1768728,-77.0099213,-12.1772545,-77.0094949,Calle Manuel Raygada,62.84,1.34,84.21,10.11,Chorrillos,Chorrillos
310954917,310954851,-12.1768728,-77.0099213,-12.1762167,-77.0106658,Calle Manuel Raygada,108.95,1.02,111.13,13.34,Chorrillos,Chorrillos
310954917,3974743886,-12.1768728,-77.0099213,-12.176556,-77.0095442,Calle Los Manglares,54.1,2.19,118.48,14.22,Chorrillos,Chorrillos
310954947,310954948,-12.1779843,-77.0086779,-12.1780815,-77.0085857,Calle Manuel Raygada,14.74,1.69,24.91,2.99,Chorrillos,Chorrillos
310954947,1766599815,-12.1779843,-77.0086779,-12.1776176,-77.0091039,Calle Manuel Raygada,61.7,1.62,99.95,12.0,Chorrillos,Chorrillos
310954947,1766599810,-12.1779843,-77.0086779,-12.1785719,-77.0093478,Avenida Ariosto Matellini,97.85,1.81,177.11,21.26,Chorrillos,Chorrillos
310954948,310954947,-12.1780815,-77.0085857,-12.1779843,-77.0086779,Calle Manuel Raygada,14.74,2.17,31.99,3.84,Chorrillos,Chorrillos
310954948,4351688073,-12.1780815,-77.0085857,-12.1781538,-77.0085218,Calle Manuel Raygada,10.63,1.48,15.73,1.89,Chorrillos,Chorrillos
310954948,317339315,-12.1780815,-77.0085857,-12.1777553,-77.0082258,Avenida Ariosto Matellini,53.35,1.61,85.89,10.31,Chorrillos,Chorrillos
310954952,317339325,-12.1793286,-77.0072877,-12.1789644,-77.0069776,Avenida Las Gaviotas,52.69,1.79,94.32,11.32,Chorrillos,Chorrillos
310954952,10030047396,-12.1793286,-77.0072877,-12.1792661,-77.0073641,Calle Manuel Raygada,10.83,1.02,11.05,1.33,Chorrillos,Chorrillos
310954952,371264697,-12.1793286,-77.0072877,-12.1803709,-77.0075258,Avenida Las Gaviotas,120.36,1.02,122.77,14.74,Chorrillos,Chorrillos
310954983,10029956536,-12.1744977,-77.0032305,-12.1749777,-77.0036071,Avenida Las Gaviotas,67.27,1.97,132.52,15.91,Chorrillos,Chorrillos
310954983,310954989,-12.1744977,-77.0032305,-12.1742926,-77.0038444,Calle Los Cipreces,70.52,1.34,94.5,11.34,Chorrillos,Chorrillos
310954989,310955098,-12.1742926,-77.0038444,-12.1747499,-77.0040005,Los Huarangos,53.61,2.46,131.88,15.83,Chorrillos,Chorrillos
310954989,310954993,-12.1742926,-77.0038444,-12.1738036,-77.0047873,Calle Los Cipreces,117.8,1.91,225.0,27.01,Chorrillos,Chorrillos
310954989,310954983,-12.1742926,-77.0038444,-12.1744977,-77.0032305,Calle Los Cipreces,70.52,1.81,127.64,15.32,Chorrillos,Chorrillos
310954993,304905135,-12.1738036,-77.0047873,-12.1735018,-77.0044862,Avenida Ariosto Matellini,46.88,1.01,47.35,5.68,Chorrillos,Chorrillos
310954993,310954989,-12.1738036,-77.0047873,-12.1742926,-77.0038444,Calle Los Cipreces,117.8,2.24,263.87,31.68,Chorrillos,Chorrillos
310955011,309583793,-12.1753547,-77.0044526,-12.1746076,-77.0055063,Jirón Andrómeda,141.64,1.96,277.61,33.33,Chorrillos,Chorrillos
310955011,309583778,-12.1753547,-77.0044526,-12.1756172,-77.0041555,Jirón Andrómeda,43.53,1.81,78.79,9.46,Chorrillos,Chorrillos
310955011,310955098,-12.1753547,-77.0044526,-12.1747499,-77.0040005,Los Huarangos,83.55,1.33,111.12,13.34,Chorrillos,Chorrillos
310955019,310955098,-12.1741612,-77.0051407,-12.1747499,-77.0040005,Calle Los Nogales,142.51,1.36,193.81,23.27,Chorrillos,Chorrillos
310955019,310954993,-12.1741612,-77.0051407,-12.1738036,-77.0047873,Avenida Ariosto Matellini,55.29,2.39,132.14,15.86,Chorrillos,Chorrillos
